time,open,high,low,close,Volume,Volume MA
1502928000,4261.48,4349.99,4261.32,4349.99,82.088865,NaN
1502956800,4333.32,4485.39,4333.32,4352.34,238.181883,NaN
1502985600,4352.33,4369.69,4200.74,4285.08,474.879629,NaN
1503014400,4285.08,4340.62,4134.61,4300.25,524.582072,NaN
1503043200,4285,4371.52,4193.7,4236.89,372.109513,NaN
1503072000,4234.54,4297.75,3938.77,4108.37,303.196679,NaN
1503100800,4108.37,4184.69,3933.21,4033.47,221.262527,NaN
1503129600,4033.47,4100,3850,3972.05,124.77162,NaN
1503158400,4036.19,4149.99,3953.4,4139.98,35.275616,NaN
1503187200,4120.98,4156.56,4044,4155.87,35.215193,NaN
1503216000,4155.87,4211.08,4032.62,4125,65.133209,NaN
1503244800,4125,4185.94,4069.13,4086.29,366.73462,NaN
1503273600,4069.13,4119.62,3953.4,4043.63,443.413272,NaN
1503302400,4043.63,4088.12,3911.79,4022,122.64111,NaN
1503331200,4005.99,4070.49,3918.8,4016,125.688678,NaN
1503360000,4016,4016,3400,3798.08,281.906865,NaN
1503388800,3798.08,3990.12,3750.08,3858.23,401.089657,NaN
1503417600,3858.23,4104.82,3853.47,4040,283.688336,NaN
1503446400,4040,4127.99,4013.89,4074.88,301.497987,NaN
1503475200,4081.63,4265.8,4057,4197.05,372.384591,258.7870961
1503504000,4226.94,4259.58,4069.8,4114.01,327.253987,271.0453522
1503532800,4147,4204.55,4085.01,4153.32,246.69961,271.47123855
1503561600,4153.8,4250.94,4136.33,4222,318.48383,263.6514486
1503590400,4223.06,4371.68,4178.22,4316.01,222.235313,248.53411065
1503619200,4316.01,4370,4267.5,4329,242.614069,242.05933845
1503648000,4317.81,4422.29,4261.13,4394.36,238.639716,238.8314903
1503676800,4394.36,4453.91,4247.48,4280.68,92.358955,232.3863117
1503705600,4280.71,4319.7,4228.99,4319.7,70.345856,229.6650235
1503734400,4319.7,4319.7,4221.14,4275,70.808065,231.44164595
1503763200,4275,4367,4212.41,4337.44,86.954147,234.02859365
1503792000,4332.51,4400,4293.42,4313.84,110.458587,236.29486255
1503820800,4331.29,4352.34,4285.54,4325,92.416106,222.57893685
1503849600,4290.01,4386.79,4290.01,4310.01,147.817892,207.79916785
1503878400,4310.01,4330.36,4124.54,4261.9,167.692553,210.05174
1503907200,4261.9,4365.4,4226.93,4273.59,243.580585,215.94633535
1503936000,4317.2,4399.82,4273.59,4386.69,192.568478,211.479416
1503964800,4353.65,4404.07,4313.55,4329.02,207.319033,201.7908848
1503993600,4328.12,4625.85,4328.12,4570,216.816,198.447268
1504022400,4569.65,4624.99,4496.95,4587.48,179.409995,192.3428684
1504051200,4564.52,4647.51,4527.45,4550.02,268.976481,187.1724629
1504080000,4550,4597,4416.01,4546.77,339.165309,187.768029
1504108800,4555,4609.92,4516.87,4555.14,200.326981,185.44939755
1504137600,4555.14,4628.12,4555.14,4592.16,212.649806,180.15769635
1504166400,4603.58,4685.55,4572.64,4648.82,218.872006,179.989531
1504195200,4648.82,4745.42,4638.98,4724.89,125.43499,174.13057705
1504224000,4689.89,4767,4654.88,4707.5,176.874112,171.04229685
1504252800,4715,4839.92,4708.09,4803.83,199.854367,176.41706745
1504281600,4756.46,4885.55,4738.94,4834.91,183.937887,182.096669
1504310400,4796.16,4939.19,4473.35,4697.71,324.308136,194.77167255
1504339200,4701.02,4709.4,4354.61,4460.19,329.544361,206.90118325
1504368000,4465.12,4554.98,4286.87,4472.14,275.296098,215.1430588
1504396800,4508.5,4714.76,4467.88,4620.87,232.321642,222.1383356
1504425600,4610.52,4674.86,4298.33,4384.15,273.485038,228.4216929
1504454400,4351.02,4583.84,4345.01,4509.08,185.409518,229.30754115
1504483200,4505,4527.49,4052,4186.96,357.244716,234.9907477
1504512000,4102.05,4437.68,4014.76,4015.03,740.921265,262.40838705
1504540800,4015.03,4300.95,3972.51,4100.11,296.478633,266.86636705
1504569600,4106.97,4190.4,3603,4190.4,500.571716,281.05415285
1504598400,4190,4298,4050,4151,467.190874,295.4431968
1504627200,4140,4484.99,4096.06,4366.47,261.175567,295.0531511
1504656000,4366.49,4522.81,4335.26,4461.29,353.728511,295.7813112
1504684800,4476.13,4619.47,4422.28,4619.43,436.891617,307.609543
1504713600,4619.43,4662.87,4610,4619.77,16.743598,297.8142326
1504742400,4619.77,4661.93,4438.19,4510.25,153.119333,294.52659895
1504771200,4475.01,4759.25,4458,4755,257.719959,301.1408474
1504800000,4755,4788.59,4586.13,4691.61,89.590683,296.77667595
1504828800,4691.66,4735.39,4586.13,4619.01,90.730903,291.32050275
1504857600,4625.36,4699.77,4028.93,4348.65,528.460766,308.5466467
1504886400,4330.68,4396.49,4060,4282.8,513.063377,317.98440875
1504915200,4282.8,4426.62,4150.06,4321.52,323.384458,317.6764136
1504944000,4336.19,4400.6,4245.94,4276,184.49421,313.1363192
1504972800,4276,4300,4159.64,4258.81,150.904284,309.0654513
1505001600,4258.81,4279.7,3801,3988.95,306.591804,310.7207896
1505030400,3988.89,4135.48,3900.05,4094.93,186.19112,310.7598697
1505059200,4086.92,4283,4072.45,4130.37,167.590351,301.27715145
1505088000,4153.62,4334.43,4098.91,4178.73,425.480345,285.50510545
1505116800,4186.88,4313.18,4115.39,4251.29,157.662364,278.564292
1505145600,4246.43,4280,4158.84,4208.47,116.846356,259.378024
1505174400,4208.6,4394.59,4201.9,4361,245.264037,248.28168215
1505203200,4361.04,4373.67,4228.5,4258.72,289.441339,249.69497075
1505232000,4249.49,4280,4040.8,4163.72,344.924943,249.25479235
1505260800,4159.72,4165.38,3796.8,3933.76,379.838073,246.40211515
1505289600,3914.01,3976.19,3760,3795,344.480721,262.7889713
1505318400,3775.47,3991.01,3765.13,3944.69,189.143751,264.5901922
1505347200,3944,3993,3800,3869.99,223.863149,262.8973517
1505376000,3846.58,3889.98,3395,3518,896.995053,303.2675702
1505404800,3522,3533.97,3165.13,3189.02,544.163341,325.9391921
1505433600,3188.01,3460,3031,3148,556.637774,327.3480425
1505462400,3148,3856,2817,3830,1047.513265,354.0705369
1505491200,3839.94,3839.98,3483,3700,364.715453,356.13708665
1505520000,3674.01,3950,3658.04,3847.9,428.510819,368.3379171
1505548800,3847.92,3850,3470.66,3567.11,618.728494,391.7291276
